"filename", "language", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"d:\ahki\public\Emoji\Pack1\051-kiss.svg", "XML", 0, 0, 0, 0, 59, 1, 1, 61
"d:\ahki\public\Emoji\Pack1\051-mask.svg", "XML", 0, 0, 0, 0, 66, 1, 1, 68
"d:\ahki\public\Emoji\Pack1\051-mute.svg", "XML", 0, 0, 0, 0, 43, 1, 1, 45
"d:\ahki\public\Emoji\Pack1\051-neutral.svg", "XML", 0, 0, 0, 0, 51, 1, 1, 53
"d:\ahki\public\Emoji\Pack1\051-sad-1.svg", "XML", 0, 0, 0, 0, 59, 1, 1, 61
"d:\ahki\public\Emoji\Pack1\051-sad.svg", "XML", 0, 0, 0, 0, 53, 1, 1, 55
"d:\ahki\public\Emoji\Pack1\051-scared-1.svg", "XML", 0, 0, 0, 0, 51, 1, 1, 53
"d:\ahki\public\Emoji\Pack1\051-scared.svg", "XML", 0, 0, 0, 0, 60, 1, 1, 62
"d:\ahki\public\Emoji\Pack1\051-secret.svg", "XML", 0, 0, 0, 0, 54, 1, 1, 56
"d:\ahki\public\Emoji\Pack1\051-shocked.svg", "XML", 0, 0, 0, 0, 59, 1, 1, 61
"d:\ahki\public\Emoji\Pack1\051-sick.svg", "XML", 0, 0, 0, 0, 62, 1, 1, 64
"d:\ahki\public\Emoji\Pack1\051-sleeping.svg", "XML", 0, 0, 0, 0, 65, 1, 1, 67
"d:\ahki\public\Emoji\Pack1\051-smile-1.svg", "XML", 0, 0, 0, 0, 59, 1, 1, 61
"d:\ahki\public\Emoji\Pack1\051-smile.svg", "XML", 0, 0, 0, 0, 52, 1, 1, 54
"d:\ahki\public\Emoji\Pack1\051-smiling-1.svg", "XML", 0, 0, 0, 0, 61, 1, 1, 63
"d:\ahki\public\Emoji\Pack1\051-smiling.svg", "XML", 0, 0, 0, 0, 74, 1, 1, 76
"d:\ahki\public\Emoji\Pack1\051-smirking.svg", "XML", 0, 0, 0, 0, 63, 1, 1, 65
"d:\ahki\public\Emoji\Pack1\051-surprised.svg", "XML", 0, 0, 0, 0, 48, 1, 1, 50
"d:\ahki\public\Emoji\Pack1\051-sweat.svg", "XML", 0, 0, 0, 0, 61, 1, 1, 63
"d:\ahki\public\Emoji\Pack1\051-thinking.svg", "XML", 0, 0, 0, 0, 57, 1, 1, 59
"d:\ahki\public\Emoji\Pack1\051-tired.svg", "XML", 0, 0, 0, 0, 59, 1, 1, 61
"d:\ahki\public\Emoji\Pack1\051-tongue-1.svg", "XML", 0, 0, 0, 0, 59, 1, 1, 61
"d:\ahki\public\Emoji\Pack1\051-tongue-2.svg", "XML", 0, 0, 0, 0, 65, 1, 1, 67
"d:\ahki\public\Emoji\Pack1\051-tongue.svg", "XML", 0, 0, 0, 0, 63, 1, 1, 65
"d:\ahki\public\Emoji\Pack1\051-unamused.svg", "XML", 0, 0, 0, 0, 62, 1, 1, 64
"d:\ahki\public\Emoji\Pack1\051-vomiting-1.svg", "XML", 0, 0, 0, 0, 75, 1, 1, 77
"d:\ahki\public\Emoji\Pack1\051-vomiting.svg", "XML", 0, 0, 0, 0, 63, 1, 1, 65
"d:\ahki\public\Emoji\Pack1\051-wink.svg", "XML", 0, 0, 0, 0, 55, 1, 1, 57
"d:\ahki\public\Emoji\Pack1\051-zombie.svg", "XML", 0, 0, 0, 0, 86, 1, 1, 88
"d:\ahki\public\Emoji\Pack1\favourite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\Pack1\love.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"d:\ahki\public\Emoji\Pack2.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 27
"d:\ahki\public\Emoji\Pack3.js", "JavaScript", 0, 0, 53, 0, 0, 0, 2, 55
"d:\ahki\public\Emoji\Pack4.js", "JavaScript", 0, 0, 194, 0, 0, 0, 3, 197
"d:\ahki\public\Emoji\pack2\wedding-couple-1.svg", "XML", 0, 0, 0, 0, 188, 1, 11, 200
"d:\ahki\public\Emoji\pack2\wedding-couple-10.svg", "XML", 0, 0, 0, 0, 110, 1, 11, 122
